dateRep,day,month,year,country,count_info,cumulative_value,avg_value_quality
2020-05-20,20,5,2020,IT,3,626.604,208.86800000000002
2020-05-05,5,5,2020,IT,277,7214,26.043321299638997
2020-04-04,4,4,2020,IT,146,9213,63.102739726027409
2020-06-04,4,6,2020,IT,9,507.1310545,56.347894944444448
2020-05-28,28,5,2020,IT,6,5389.984,898.33066666666662
2020-06-01,1,6,2020,IT,4,488.222,122.05550000000001
2020-05-27,27,5,2020,IT,3,1222.8558634,407.61862113333336
2021-04-22,22,4,2021,IT,1,400,400
2020-03-31,31,3,2020,IT,32,375.19999999999993,11.725
2020-06-11,11,6,2020,MK,59,2645.9338921800004,44.846337155593218
2020-06-10,10,6,2020,MK,4,880.2865347,220.071633675
2020-06-02,2,6,2020,MK,1,11.59805,11.59805
2020-06-11,11,6,2020,NL,255,-14374.003120000003,-56.368639686274506
2021-04-20,20,4,2021,NL,19,-17915.7,-942.93157894736839
2020-03-02,2,3,2020,NL,4,-3980,-995
2020-07-09,9,7,2020,PL,4,244.13591000000002,61.033977500000006
2020-02-14,14,2,2020,PL,5,816.29269,163.25853800000002
2020-06-10,10,6,2020,PT,103,3687.7000000000003,35.802912621359219
2020-06-11,11,6,2020,PT,71,3143.9,44.280281690140839
2021-06-12,12,6,2021,PT,2,1442,721
2020-06-11,11,6,2020,RS,22,1314.00041,59.727291363636368
2020-06-11,11,6,2020,SK,131,7795.5532299999986,59.508039923664107
2020-06-10,10,6,2020,XK,48,5076.177,105.7536875
2021-09-23,23,9,2021,EE,47,2161.81734,45.996113617021273
2020-03-01,1,3,2020,CN,12,1958,163.16666666666669
2020-12-16,16,12,2020,CN,1,53,53
2020-06-11,11,6,2020,IE,28,428.43476207999993,15.301241502857144
2021-02-10,10,2,2021,CN,6,1384,230.66666666666666
2020-06-11,11,6,2020,BA,26,7390,284.23076923076917
2021-07-17,17,7,2021,CN,5,598,119.6
2021-05-18,18,5,2021,CH,3,80.8682,26.956066666666668
2021-05-03,3,5,2021,CN,6,510,85
2020-06-11,11,6,2020,MT,14,515.35552000000007,36.811108571428569
2021-01-01,1,1,2021,CN,9,1024,113.77777777777777
2020-01-17,17,1,2020,HR,4,92.919999999999987,23.229999999999997
2021-10-06,6,10,2021,AD,1,81,81
2021-07-22,22,7,2021,CN,2,154,77
2021-05-18,18,5,2021,IE,8,674.74986463,84.34373307875002
2021-11-24,24,11,2021,EC,18,0,0
2020-01-10,10,1,2020,CN,6,2313,385.5
2020-01-07,7,1,2020,DE,2,42.1,21.05
2021-02-22,22,2,2021,DE,1,104.98,104.98
2020-05-16,16,5,2020,DE,1,23.56,23.56
2021-12-29,29,12,2021,ES,3,76,25.333333333333332
2020-06-09,9,6,2020,ES,31,1116.1000000000001,36.00322580645161
2020-06-29,29,6,2020,ES,5,140.3,28.060000000000002
2021-08-24,24,8,2021,ES,5,95,19
2020-05-04,4,5,2020,ES,8,1352,169
2021-01-28,28,1,2021,ES,13,132,10.153846153846153
2020-06-02,2,6,2020,ES,7,648.42000000000007,92.631428571428572
2021-05-29,29,5,2021,ES,4,110,27.5
2020-06-01,1,6,2020,ES,5,204,40.8
2020-05-31,31,5,2020,ES,6,604,100.66666666666666
2020-06-08,8,6,2020,ES,18,658.5,36.583333333333343
2021-12-30,30,12,2021,ES,15,675,45.000000000000007
2020-06-11,11,6,2020,FI,87,1083.0618329,12.448986585057471
2021-12-28,28,12,2021,FR,3,72.800000000000011,24.266666666666669
2021-02-09,9,2,2021,FR,2,88.8,44.4
2020-01-22,22,1,2020,FR,10,167.79999999999998,16.78
2020-03-04,4,3,2020,FR,2,63.199999999999996,31.599999999999998
2020-12-17,17,12,2020,FR,1,3.7,3.7
2021-04-09,9,4,2021,FR,2,60.7,30.35
2020-02-25,25,2,2020,FR,4,90.600000000000009,22.650000000000002
2021-03-17,17,3,2021,FR,3,69,23
2021-03-29,29,3,2021,FR,1,90.4,90.4
2020-06-11,11,6,2020,GB,373,6676,17.898123324396785
2020-06-10,10,6,2020,GB,9,173,19.222222222222221
2021-11-30,30,11,2021,GB,5,157.20000000000002,31.440000000000005
2020-04-27,27,4,2020,GB,1,47,47
2021-08-04,4,8,2021,GB,2,67,33.5
2021-09-20,20,9,2021,IN,6,2925.7000000000003,487.61666666666673
2020-02-09,9,2,2020,IN,6,405.98,67.663333333333327
2020-01-08,8,1,2020,IN,6,2799.33,466.555
2020-06-06,6,6,2020,IN,6,1107.99,184.66500000000002
2020-11-13,13,11,2020,IN,1,12.5,12.5
2020-05-21,21,5,2020,IT,17,707.8,41.635294117647049
2020-01-19,19,1,2020,IT,5,-45,-9
2021-01-12,12,1,2021,NL,1,-999,-999
2020-06-11,11,6,2020,NO,103,1276.326977,12.391524048543692
2020-06-09,9,6,2020,PT,8,146.2,18.275
2020-06-11,11,6,2020,RO,188,3698.7122094000006,19.674001113829782
2020-05-04,4,5,2020,RO,2,63.910011000000004,31.955005500000002
2020-04-24,24,4,2020,RO,2,106.904604,53.452302
2020-06-11,11,6,2020,SE,64,1429.1569140000001,22.330576781249995
2020-05-12,12,5,2020,SE,2,78.100000000000009,39.050000000000004
2020-12-11,11,12,2020,SE,21,107.59871999999999,5.1237485714285693
2021-07-25,25,7,2021,CN,19,1690,88.94736842105263
2020-01-14,14,1,2020,CN,6,1303,217.16666666666666
2020-06-08,8,6,2020,BE,1,9.5,9.5
2020-06-25,25,6,2020,CN,12,2493,207.75
2020-03-03,3,3,2020,CN,6,779,129.83333333333331
2021-09-30,30,9,2021,IS,7,61.615460999999996,8.8022087142857153
2020-06-11,11,6,2020,LV,7,130.244463,18.606351857142858
2020-06-09,9,6,2020,HR,1,11.6,11.6
2020-06-10,10,6,2020,IE,10,76.57036064,7.6570360639999988
2020-06-11,11,6,2020,HR,4,42.332,10.583
2020-06-10,10,6,2020,GR,5,423,84.6
2020-06-27,27,6,2020,CN,12,1542,128.5
2020-06-11,11,6,2020,IS,27,163.4878313,6.0551048629629625
2020-01-15,15,1,2020,MN,4,80,20
2020-06-24,24,6,2020,CN,6,737,122.83333333333334
2021-12-24,24,12,2021,PE,4,190.76999999999998,47.692499999999995
2020-06-26,26,6,2020,CN,12,1589,132.41666666666666
2020-06-10,10,6,2020,IS,11,33.57481,3.0522554545454548
2021-11-29,29,11,2021,TR,4,340.75,85.1875
2021-04-24,24,4,2021,AT,2,12.7885003,6.3942501499999995
2020-12-04,4,12,2020,AT,4,69.051618109999993,17.262904527499998
2021-12-30,30,12,2021,AT,5,1141.16498993,228.23299798599996
2020-07-20,20,7,2020,CL,1,16.32,16.32
2021-11-06,6,11,2021,CZ,6,424.6,70.76666666666668
2020-03-16,16,3,2020,DE,2,86.16,43.08
2020-04-26,26,4,2020,DE,3,86.79,28.93
2021-07-01,1,7,2021,DE,1,10.4,10.4
2020-01-06,6,1,2020,DE,10,144.76,14.476
2021-01-01,1,1,2021,DE,4,341.43,85.357499999999987
2021-01-05,5,1,2021,DE,3,39.760000000000005,13.253333333333334
